Name                                             ;Stufe;Schule      ;Zeit                          ;Entfernung                                        ;Ziel/effekt/Bereich                                                                                                                                   ;Wirkungsdauer                                                                                    ;Komponenten                                                                                         ;Rettungswurf                                                                          ;Zauberresistenz                           ;Quelle /Seite
Kältestrahl                                      ;0    ;Hervorrufung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Strahl                                                                                                                                                ;Augenblicklich                                                                                   ;V, G                                                                                                ;Nein                                                                                  ;Ja                                        ;GRW 292
Licht                                            ;0    ;Hervorrufung;1 Standard-Aktion             ;Berührung                                         ;Berührter Gegenstand                                                                                                                                  ;10 Min./ Stufe                                                                                   ;V, M/GF (ein Glühwürmchen)                                                                          ;Nein                                                                                  ;Nein                                      ;GRW 297
Magie entdecken                                  ;0    ;Erkenntnis  ;1 Standard-Aktion             ;18m                                               ;Kegelförmige Ausstrahlung                                                                                                                             ;Konzentration, bis zu 1 Min./ Stufe (A)                                                          ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 299
Magie lesen                                      ;0    ;Erkenntnis  ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;10Min./ Stufe                                                                                    ;V, G, F (ein Prisma aus klarem Kristall oder Gestein)                                               ;Nein                                                                                  ;Nein                                      ;GRW 299
Magierhand                                       ;0    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Ein nichtmagischer Gegenstand, der nicht benutzt wird und nicht mehr als 2,5 kg wiegt                                                                 ;Konzentration                                                                                    ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 300
Öffnen/Schließen                                 ;0    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Gegenstand, der bis zu 30 Pfd. wiegen kann oder Pforte, die geöffnet oder geschlossen werden kann                                                     ;Augenblicklich                                                                                   ;V, G, F (ein Messingschlüssel)                                                                      ;Willen, keine Wirkung (Gegenstand)                                                    ;Ja (Gegenstand)                           ;GRW 311
Resistenz                                        ;0    ;Bannzauber  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Minute                                                                                         ;V, G, M/GF (ein Miniaturumhang)                                                                     ;Willen, keine Wirkung (harmlos)                                                       ;Ja (harmlos)                              ;GRW 318
Säurespritzer                                    ;0    ;Beschwörung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Ein Säuregeschoss                                                                                                                                     ;Augenblicklich                                                                                   ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 321
Tanzende Lichter                                 ;0    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Bis zu vier Lichter, die sich alle innerhalb eines Bereichs mit einem Radius von 3m befinden müssen                                                   ;1 Minute (A)                                                                                     ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 339
Untote schwächen                                 ;0    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Strahl                                                                                                                                                ;Augenblicklich                                                                                   ;V, G                                                                                                ;Nein                                                                                  ;Ja                                        ;GRW 350
Verstörende Feenerscheinung                      ;0    ;Illusion    ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe (A)                                                                               ;G                                                                                                   ;Keiner                                                                                ;Nein                                      ;ARK 246
Zaubertrick                                      ;0    ;Allgemein   ;1 Standard-Aktion             ;3m                                                ;Siehe Text                                                                                                                                            ;1 Stunde                                                                                         ;V, G                                                                                                ;Siehe Text                                                                            ;Nein                                      ;GRW 368
Alarm                                            ;1    ;Bannzauber  ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Ausstrahlung in einem Radius von 6 m, ausgehend von einem beliebigen Punkt                                                                            ;2 Stunden/ Stufe (A)                                                                             ;V, G, F/GF (eine kleine Glocke und ein Stück feinen Silberdrahts)                                   ;Nein                                                                                  ;Nein                                      ;GRW 242
Allzweckmittel                                   ;1    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;siehe Beschreibung                                                                               ;G                                                                                                   ;Nein                                                                                  ;Nein                                      ;ARM 205
Ameisenstärke                                    ;1    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;2 Stunden/ Stufe                                                                                 ;V, G, M/GF (ein kleiner Flaschenzug)                                                                ;Zähigkeit, keine Wirkung (harmlos)                                                    ;Ja (harmlos)                              ;EXP 203
Augenblick der Größe                             ;1    ;Verzauberung;1 Standard-Aktion             ;15 m                                              ;Der Zauberkundige und Verbündete innerhalb einer Explosion mit 15 m-Radius um den Zauberkundigen herum                                                ;1 Min. /Stufe oder bis entladen                                                                  ;V, G, M/GF (Hasenfell)                                                                              ;Keiner                                                                                ;Ja (Harmlos)                              ;ARK 222
Austilgen                                        ;1    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Schriftrolle oder 2 Seiten                                                                                                                       ;Augenblicklich                                                                                   ;V, G                                                                                                ;siehe Text                                                                            ;Nein                                      ;GRW 249
Bauchreden                                       ;1    ;Illusion    ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Verständliche Geräusche, üblicherweise Sprache                                                                                                        ;1 Min./ Stufe (A)                                                                                ;V, F (Pergament, das zu einem Trichter zusammengerollt wurde)                                       ;Willen, anzweifeln (falls mit der Illusion interagiert wird)                          ;Nein                                      ;GRW 249
Befreiender Befehl                               ;1    ;Verwandlung ;1 Augenblickliche Aktion      ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;Augenblicklich                                                                                   ;V                                                                                                   ;Willen, keine Wirkung (harmlos)                                                       ;Ja (Harmlos)                              ;ARK 223
Beschädigen                                      ;1    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Ein mittelgroßer oder kleinerer Gegen stand                                                                                                           ;Augenblicklich                                                                                   ;V, G, M (ein Zweig)                                                                                 ;Zähigkeit, keine Wirkung (Gegenstand )                                                ;Ja (Gegenstand)                           ;EXP 207
Blick bannen                                     ;1    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARK 225
Brennende Hände                                  ;1    ;Hervorrufung;1 Standard-Aktion             ;4,50m                                             ;Kegelförmige Explosion                                                                                                                                ;Augenblicklich                                                                                   ;V, G                                                                                                ;Reflex, halbiert                                                                      ;Ja                                        ;GRW 256
Drachenfeuerwerk                                 ;1    ;Verwandlung ;1 Standard-Aktion             ;Lang (120 m + 12 m/ Stufe)                        ;Drachenförmiges Feuerwerk                                                                                                                             ;1 Runde/ Stufe                                                                                   ;V, G, M (ein in Stoff gewickeltes Stück Schwefel)                                                   ;Reflex, keine Wirkung                                                                 ;Ja                                        ;ARM 210
Dringlicher Schritt                              ;1    ;Bannzauber  ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe oder bis entladen                                                                 ;V, G, M (eine Hasenpfote)                                                                           ;Keiner                                                                                ;Nein                                      ;ARK 226
Durchschlagende Geschosse                        ;1    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Minute/ Stufe (A)                                                                              ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;EXP 213
Eisdolch                                         ;1    ;Beschwörung ;1 Standard-Aktion             ;0m                                                ;1 Eisdolch                                                                                                                                            ;1 Min/ Stufe                                                                                     ;V, G                                                                                                ;Keiner                                                                                ;Nein                                      ;ARM 212
Elementen trotzen                                ;1    ;Bannzauber  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;24 Stunden                                                                                       ;V, G                                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;ja (harmlos)                              ;GRW 266
Erzwungene Stille                                ;1    ;Verwandlung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;1 Kreatur                                                                                                                                             ;1 Runde/ Stufe                                                                                   ;G                                                                                                   ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 215
Federfall                                        ;1    ;Verwandlung ;1 Augenblickliche Aktion      ;Nah (7,50m + 1,50m/2 Stufen)                      ;Ein mittelgroßer oder kleinerer Gegenstand, der sich im freien Fall befindet, oder eine Kreatur/ Stufe, keine zwei Ziele dürfen weiter als 6 m vonein ;1 Runde/ Stufe bis zur Landung                                                                   ;V                                                                                                   ;Willen, keine Wirkung (harmlos) oder Willen, keine Wirkung (Gegenstand)               ;Ja (Gegenstand)                           ;GRW 270
Feuchtes Pulver                                  ;1    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 geladene Feuerwaffe                                                                                                                                 ;Augenblicklich                                                                                   ;V, G, M/GF (ein feuchtes Stück Baumwolle)                                                           ;Willen, keine Wirkung (Gegenstand)                                                    ;Ja (Gegenstand)                           ;ARK 228
Friedenssiegel                                   ;1    ;Bannzauber  ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Waffe in ihrer Scheide oder über der Schulter                                                                                                       ;1 Min. /Stufe                                                                                    ;G                                                                                                   ;Willen, keine Wirkung (Gegenstand)                                                    ;Ja (Gegenstand)                           ;ARK 229
Furcht auslösen                                  ;1    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine lebende Kreatur mit 5 TW oder weniger                                                                                                            ;1W4 Runden oder 1 Runde (siehe Text)                                                             ;V, G                                                                                                ;Willen, teilweise                                                                     ;Ja                                        ;GRW 277
Gedächtnislücke                                  ;1    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine lebende Kreatur                                                                                                                                  ;Augenblicklich                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;EXP 222
Gefahrensinn                                     ;1    ;Erkenntnis  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Min./ Stufe oder bis aktiviert                                                                 ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 217
Geheimtüren entdecken                            ;1    ;Erkenntnis  ;1 Standard-Aktion             ;18m                                               ;Kegelförmige Ausströmung                                                                                                                              ;Konzentration, bis zu 1 Min./ Stufe (A)                                                          ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 281
Gesinnung sehen                                  ;1    ;Erkenntnis  ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe                                                                                   ;V, G, M (ein Krötenauge)                                                                            ;Keiner                                                                                ;Nein                                      ;ARK 231
Handwerkers Fluch                                ;1    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur                                                                                                                                          ;1 Tag/ Stufe (A)                                                                                 ;V, G, M (ein beschädigtes Werkzeug)                                                                 ;Willen , keine Wirkung                                                                ;Ja                                        ;EXP 226
Handwerkers Glück                                ;1    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur                                                                                                                                          ;1 Tag/ Stufe oder bis der Zauber ausgelöst wird (A)                                              ;V, G, M (ein Werkzeug)                                                                              ;Willen, keine Wirkung (harmlos)                                                       ;Ja (harmlos)                              ;EXP 226
Hauch der See                                    ;1    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Minute/ Stufe                                                                                  ;V, G, M (eine Fischschuppe)                                                                         ;Zähigkeit, keine Wirkung (harmlos)                                                    ;Ja (harmlos)                              ;EXP 227
Hauch der Tollpatschigkeit                       ;1    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Zähigkeit, teilweise                                                                  ;Ja                                        ;EXP 227
Hypnose                                          ;1    ;Verzauberung;1 Runde                       ;Nah (7,50m + 1,50m/2 Stufen)                      ;Mehrere lebende Kreaturen, zwei beliebige Ziele dürfen nicht weiter als 9 m voneinander entfernt sein                                                 ;2W4 Runden (A)                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 290
Identifizieren                                   ;1    ;Erkenntnis  ;1 Standard-Aktion             ;18m                                               ;Eine kegelförmige Ausstrahlung                                                                                                                        ;3 Runden/ Stufe (A)                                                                              ;V, G, M (Wein, der mit einer Eulenfeder umgerührt wurde)                                            ;Nein                                                                                  ;Nein                                      ;GRW 290
Illusion der Ruhe                                ;1    ;Illusion    ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min. /Stufe                                                                                    ;V, G                                                                                                ;Willen, anzweifeln (bei Treffer, siehe unten)                                         ;Nein                                      ;ARK 232
Jugendliche Erscheinung                          ;1    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Stunde/ Stufe                                                                                  ;V, G                                                                                                ;Keiner                                                                                ;Nein                                      ;ARM 223
Kalte Hand                                       ;1    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;Eine oder mehrere berührte Kreaturen (bis zu 1/ Stufe)                                                                                                ;Augenblicklich                                                                                   ;V, G                                                                                                ;Zähigkeit, teilweise, Willen, keine Wirkung (siehe Text)                              ;Ja                                        ;GRW 292
Ki-Pfeil                                         ;1    ;Beschwörung ;1 Standard-Aktion             ;Berührung                                         ;Ein berührter Pfeil                                                                                                                                   ;Augenblicklich                                                                                   ;G                                                                                                   ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;ARM 224
Kleines Monster herbeizaubern                    ;1    ;Beschwörung ;1 Runde                       ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1W3 herbeigezauberte Kreaturen                                                                                                                        ;1 Runde/ Stufe                                                                                   ;V, G, F, GF (Ein sehr kleiner Beutel und eine kleine Kerze)                                         ;Keiner                                                                                ;Nein                                      ;ARM 224
Kränkelnder Strahl                               ;1    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;Strahl                                                                                                                                                ;1 Min./ Stufe                                                                                    ;V, G, M (Ein Tropfen Schweiß)                                                                       ;Zähigkeit, teilweise (siehe Text)                                                     ;Ja                                        ;ARM 225
Kugel gießen                                     ;1    ;Verwandlung ;1 Runde                       ;Berührung                                         ;1 Pfund Weichmetall                                                                                                                                   ;Augenblicklich                                                                                   ;V, G, M (1 Pfd. Blei oder anderes Weichmetall im Wert von 2 GM)                                     ;Keiner                                                                                ;Nein                                      ;ARK 234
Leiche kompostieren                              ;1    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;1 Leiche oder 1 korperlicher Untoter                                                                                                                  ;Augenblicklich oder 1 Min                                                                        ;V, G, M (1 Prise getrockneter Krötenschemel)                                                        ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;ARM 227
Leiche verwandeln                                ;1    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;Eine berührte tote Kreatur                                                                                                                            ;Augenblicklich                                                                                   ;V, G, M (ein Klumpen Wachs)                                                                         ;Willen, teilweise (siehe Text)                                                        ;Nein                                      ;EXP 230
Leiche wiederherstellen                          ;1    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;Berührte Leiche                                                                                                                                       ;Augenblicklich                                                                                   ;V, G                                                                                                ;Keiner                                                                                ;Nein                                      ;ARM 227
Lichtblitze                                      ;1    ;Hervorrufung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Lichtexplosion mit einem Radius von 3 m                                                                                                               ;Augenblicklich                                                                                   ;V                                                                                                   ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;EXP 231
Luftblase                                        ;1    ;Beschwörung ;1 Standard-Aktion             ;Berührung                                         ;1 Kreatur oder 1 Gegenstand, der nicht größer als eine große Zweihandwaffe sein darf                                                                  ;1 Min. /Stufe                                                                                    ;G, M/GF (eine kleine, luftgefüllte Blase)                                                           ;Willen, keine Wirkung (harmlos)                                                       ;Ja (Harmlos)                              ;ARK 236
Magierrüstung                                    ;1    ;Beschwörung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Stunde/ Stufe (A)                                                                              ;V, G, F (ein Stückchen gehärtetes Leder)                                                            ;Willen, keine Wirkung (harmlos)                                                       ;Nein                                      ;GRW 300
Magische Aura                                    ;1    ;Illusion    ;1 Standard-Aktion             ;Berührung                                         ;Ein berührter Gegenstand, der bis zu 5 Pfd./ Stufe wiegen darf                                                                                        ;1 Tag/ Stufe (A)                                                                                 ;V, G, F (ein kleines Stück Seide, das über den Gegenstand gelegt werden muss, der die Aura empfangen;Nein, siehe Text                                                                      ;Nein                                      ;GRW 300
Magische Waffe                                   ;1    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Waffe                                                                                                                                        ;1 Min./ Stufe                                                                                    ;V, G, GF                                                                                            ;Willen, keine Wirkung (harmlos, Gegenstand)                                           ;Ja (harmlos, Gegenstand)                  ;GRW 304
Magisches Geschoss                               ;1    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Bis zu fünf Kreaturen, von denen keine weiter als 4,50 m von den anderen entfernt sein darf                                                           ;Sofort                                                                                           ;V, G                                                                                                ;Nein                                                                                  ;Ja                                        ;GRW 303
Monster herbeizaubern I                          ;1    ;Beschwörung ;1 Runde                       ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine beschworene Kreatur                                                                                                                              ;1 Runde/ Stufe                                                                                   ;V, G, F/GF (ein kleiner Beutel und eine kleine Kerze)                                               ;Nein                                                                                  ;Nein                                      ;GRW 308
Negative Reaktion                                ;1    ;Illusion    ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;1 Runde/ Stufe                                                                                   ;G                                                                                                   ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARK 238
